sub_station,sub_address
Miyapur,"Miyapur Metro Station, Nadigada Tanda, Miyapur, Hyderabad, Telangana"
JNTU College,"JNTU College Metro Station, near JNTU College, near jntu college, Dharma Reddy Colony Phase II, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana"
KPHB Colony,"KPHB Colony Metro Station, Bhagya Nagar Colony, Kukatpally, Hyderabad, Telangana"
Kukatpally,"Kukatpally Metro Station, APHB Colony, Kukatpally, Hyderabad, Telangana"
Balanagar,"Dr B.R. Ambedkar Balanagar Metro Station, IDA Kukatpally, Kukatpally, Hyderabad, Telangana"
Moosapet,"Moosapet Metro Station, National Highway 65, Bhavani Nagar, Moosapet, Hyderabad, Telangana"
Bharat Nagar,"Bharat Nagar Metro Station, Bharat Nagar Colony, HIG Colony, Sultan Bagh, Moosapet, Hyderabad, Telangana"
Erragadda Road,"Erragadda Metro Station, Prem Nagar, Sanath Nagar, Hyderabad, Telangana"
ESI Hospital,"ESI Hospital Metro Station, BK Guda, Erragadda, Hyderabad, Telangana"
S R Nagar,"S R Nagar Metro Station, Mumbai Highway, Mothi Nagar, Sanjeeva Reddy Nagar Office Area, Sanjeeva Reddy Nagar, Hyderabad, Telangana"
Ameerpet,"Ameerpet Metro Station, near to Mythrivanam, Ameerpet, Hyderabad, Telangana"
Punjagutta,"Punjagutta Metro Station, Punjagutta Officers Colony, Punjagutta, Hyderabad, Telangana"
Irrum Manzil,"Irrum Manzil Metro station, Punjagutta Road, Sangeet Nagar, Somajiguda, Hyderabad, Telangana"
Khairatabad,"Khairatabad Metro Station, Khairatabad Foot Over Bridge, Indira Nagar, Khairtabad, Hyderabad, Telangana"
Lakdi-Ka-Pul,"Lakdi-Ka-Pul, Ambedkar Colony, Khairtabad, Hyderabad, Telangana"
Assembly,Assembly hyderabad metro
Nampally,"Nampally Metro Station, National Highway 44, Red Hills, Lakdikapul, Hyderabad, Telangana"
Gandhi Bhavan,"Gandhi Bhavan Metro Station, APHB Colony, Chandra Vihar, Old Kattal Mandi, Abids, Hyderabad, Telangana"
Osmania Medical College,"Osmania Medical College, Jambagh Road, Troop Bazaar, Koti, Hyderabad, Telangana"
MG Bus Station,"MG Bus Station Metro Station, Imlibun, Gowliguda, Hyderabad, Telangana"
Malakpet,"Malakpet Metro Rail Station, Musi Nagar, Old Malakpet, Hyderabad, Telangana"
New Market,"New Market Metro station, Palton, Dayanand Nagar, New Malakpet, Hyderabad, Telangana"
Musarambagh,"Musarambagh, Saleem Nagar Colony, Malakpet Extension, Old Malakpet, Hyderabad, Telangana"
Dilsukhnagar,"Dilsukhnagar Metro Station, Mellacheruvu - Cement Factory Road, AP State Housing Board, Ravi Residency, Krishna Nagar, Dilsukhnagar, Mellacheruvu, Telangana"
Chaitanyapuri,"Chaitanyapuri Metro Station, Sri Sai Shivani Complex, Kamala Nagar, Hyderabad, Telangana"
Victoria Memorial,"Victoria Memorial Metro Station, Dwarka Nagar, L. B. Nagar, Hyderabad, Telangana"
L.B. Nagar,"L.B. Nagar Metro Station, Shivapuri Colony, L. B. Nagar, Hyderabad, Telangana"
Jubilee Bus Stand,"Jubilee Bus Stand(JBS) Metro Rail Station, Gandhi Nagar, Nehru Nagar Colony, West Marredpally, Secunderabad, Telangana"
Parade grounds,"Parade grounds metro staton, Sardar Patel Flyover, Gandhi Nagar, Regimental Bazaar, West Marredpally, Secunderabad, Telangana"
Secunderabad,"Secunderabad East Metro station, Regimental Bazaar, Shivaji Nagar, Secunderabad, Telangana"
Gandhi hospital,"Gandhi hospital metro station, Bhoiguda Road, M.I.G.H colony, PBR Estate, New Bhoiguda, Bhoiguda, Secunderabad, Telangana"
Musheerabad,"Musheerabad Metro Station, Mumbai Highway, Musheerabad, Bakaram, Kavadiguda, Hyderabad, Telangana"
RTC X Roads,"RTC X Roads Metro Station, Musheerabad Main Road, Musheerabad, Zamistanpur, Hyderabad, Telangana"
Chikkadpally,"Chikkadpally, Chikkadpally, Himayatnagar, Hyderabad, Telangana"
