sub_station,sub_address,lat,long
Miyapur,"Miyapur Metro Station, Nadigada Tanda, Miyapur, Hyderabad, Telangana",17.4964542,78.3707472
JNTU College,"JNTU College Metro Station, near JNTU College, near jntu college, Dharma Reddy Colony Phase II, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana",17.4985658,78.3866769
KPHB Colony,"KPHB Colony Metro Station, Bhagya Nagar Colony, Kukatpally, Hyderabad, Telangana",17.4937967,78.3994826
Kukatpally,"Kukatpally Metro Station, APHB Colony, Kukatpally, Hyderabad, Telangana",17.4851155,78.409369
Balanagar,"Dr B.R. Ambedkar Balanagar Metro Station, IDA Kukatpally, Kukatpally, Hyderabad, Telangana",17.476826,78.4199259
Moosapet,"Moosapet Metro Station, National Highway 65, Bhavani Nagar, Moosapet, Hyderabad, Telangana",17.4720173,78.4237693
Bharat Nagar,"Bharat Nagar Metro Station, Bharat Nagar Colony, HIG Colony, Sultan Bagh, Moosapet, Hyderabad, Telangana",17.4639553,78.4278805
Erragadda Road,"Erragadda Metro Station, Prem Nagar, Sanath Nagar, Hyderabad, Telangana",17.457209,78.4313313
ESI Hospital,"ESI Hospital Metro Station, BK Guda, Erragadda, Hyderabad, Telangana",17.4474675,78.4361153
S R Nagar,"S R Nagar Metro Station, Mumbai Highway, Mothi Nagar, Sanjeeva Reddy Nagar Office Area, Sanjeeva Reddy Nagar, Hyderabad, Telangana",17.4416568,78.439444
Ameerpet,"Ameerpet Metro Station, near to Mythrivanam, Ameerpet, Hyderabad, Telangana",17.4356845,78.4424089
Punjagutta,"Punjagutta Metro Station, Punjagutta Officers Colony, Punjagutta, Hyderabad, Telangana",17.428605,78.4489723
Irrum Manzil,"Irrum Manzil Metro station, Punjagutta Road, Sangeet Nagar, Somajiguda, Hyderabad, Telangana",17.4205591,78.4539056
Khairatabad,"Khairatabad Metro Station, Khairatabad Foot Over Bridge, Indira Nagar, Khairtabad, Hyderabad, Telangana",17.4123638,78.4586074
Lakdi-Ka-Pul,"Lakdi-Ka-Pul, Ambedkar Colony, Khairtabad, Hyderabad, Telangana",17.403954,78.4628153
Assembly,Assembly hyderabad metro,17.3990799,78.4710956
Nampally,"Nampally Metro Station, National Highway 44, Red Hills, Lakdikapul, Hyderabad, Telangana",17.3923473,78.4679409
Gandhi Bhavan,"Gandhi Bhavan Metro Station, APHB Colony, Chandra Vihar, Old Kattal Mandi, Abids, Hyderabad, Telangana",17.3848433,78.4716786
Osmania Medical College,"Osmania Medical College, Jambagh Road, Troop Bazaar, Koti, Hyderabad, Telangana",17.382346,78.4788825
MG Bus Station,"MG Bus Station Metro Station, Imlibun, Gowliguda, Hyderabad, Telangana",17.379853,78.483794
Malakpet,"Malakpet Metro Rail Station, Musi Nagar, Old Malakpet, Hyderabad, Telangana",17.377281,78.4916403
New Market,"New Market Metro station, Palton, Dayanand Nagar, New Malakpet, Hyderabad, Telangana",17.3734627,78.5004312
Musarambagh,"Musarambagh, Saleem Nagar Colony, Malakpet Extension, Old Malakpet, Hyderabad, Telangana",17.371128,78.5097553
Dilsukhnagar,"Dilsukhnagar Metro Station, Mellacheruvu - Cement Factory Road, AP State Housing Board, Ravi Residency, Krishna Nagar, Dilsukhnagar, Mellacheruvu, Telangana",17.368594,78.5235413
Chaitanyapuri,"Chaitanyapuri Metro Station, Sri Sai Shivani Complex, Kamala Nagar, Hyderabad, Telangana",17.3683237,78.5337391
Victoria Memorial,"Victoria Memorial Metro Station, Dwarka Nagar, L. B. Nagar, Hyderabad, Telangana",17.3609668,78.5420416
L.B. Nagar,"L.B. Nagar Metro Station, Shivapuri Colony, L. B. Nagar, Hyderabad, Telangana",17.3497098,78.5457843
Jubilee Bus Stand,"Jubilee Bus Stand(JBS) Metro Rail Station, Gandhi Nagar, Nehru Nagar Colony, West Marredpally, Secunderabad, Telangana",17.4444274,78.4954444
Parade grounds,"Parade grounds metro staton, Sardar Patel Flyover, Gandhi Nagar, Regimental Bazaar, West Marredpally, Secunderabad, Telangana",17.44328,78.4965547
Secunderabad,"Secunderabad East Metro station, Regimental Bazaar, Shivaji Nagar, Secunderabad, Telangana",17.443279,78.4899886
Gandhi hospital,"Gandhi hospital metro station, Bhoiguda Road, M.I.G.H colony, PBR Estate, New Bhoiguda, Bhoiguda, Secunderabad, Telangana",17.4251169,78.4997311
Musheerabad,"Musheerabad Metro Station, Mumbai Highway, Musheerabad, Bakaram, Kavadiguda, Hyderabad, Telangana",17.4177753,78.4971552
RTC X Roads,"RTC X Roads Metro Station, Musheerabad Main Road, Musheerabad, Zamistanpur, Hyderabad, Telangana",17.4076213,78.4949149
