Borough,Neighborhood,Latitude,Longitude,Cluster Labels
RTC X Roads,Bawarchi,17.406369,78.497662,2
RTC X Roads,Sudharshan Theatre 35 mm,17.40653,78.49515,2
RTC X Roads,Devi 70 MM,17.406329,78.495409,4
RTC X Roads,Crystal Restaurant,17.406608,78.496268,3
RTC X Roads,Astoria Restaurant,17.40653,78.497136,0
RTC X Roads,Sandhya 70 MM,17.407053,78.497724,3
RTC X Roads,Sri Mayuri Theatre,17.407557,78.496241,2
RTC X Roads,Bollywood Chillys,17.406569,78.497345,4
RTC X Roads,Cream stone concepts,17.406625,78.496662,0
RTC X Roads,Nandhini sudha Reastaurant,17.403668,78.495264,2
RTC X Roads,Chikkadpally Police Station,17.408712,78.498849,3
RTC X Roads,National Bank for Agriculture and Rural Development,17.408515,78.496958,4
RTC X Roads,Satya Residency,17.409798,78.496623,3
RTC X Roads,Sri Chaitanya School,17.40879,78.496776,4
RTC X Roads,Kala Jyothi Process Pvt. Ltd,17.408815,78.496732,2
RTC X Roads,S R Sankaran IAS Academy,17.408763,78.496728,4
RTC X Roads,ICICI Bank,17.408775,78.496806,3
RTC X Roads,Azaan Bait Al Mandi Musherabad,17.408645,78.497037,3
RTC X Roads,Telugu CEEFI,17.409208,78.496924,3
RTC X Roads,Akula Enterprises,17.409307,78.496879,4
RTC X Roads,"BSNL Exchange, Musheerabad",17.409619,78.496792,4
RTC X Roads,Golkonda Handicrafts,17.409619,78.496792,4
RTC X Roads,"Bharat Petroleum, Petrol Pump -Sai Priya Filling Station",17.409601,78.496843,4
RTC X Roads,District Industries Centre,17.409633,78.496797,2
RTC X Roads,M.B. BHAVAN,17.408891,78.497479,1
RTC X Roads,Sweta Enclave,17.408656,78.497164,4
RTC X Roads,R.K.Enterprises Mobile Shoppee,17.409182,78.497486,2
RTC X Roads,Twin City Speech& Hearing Centre,17.409193,78.497304,3
RTC X Roads,Karthik Ventures,17.409385,78.496612,4
RTC X Roads,Muthoot Fincorp,17.409856,78.461559,3
RTC X Roads,RTC X Roads Metro Station,17.407621,78.494914,4
